hsa-mir-507
hsa-mir-519b
hsa-mir-124-2
hsa-mir-4744
hsa-mir-516b-2
hsa-mir-4773-2
hsa-mir-124-1
hsa-mir-513c
hsa-mir-6790
hsa-mir-515-1
hsa-mir-5188
hsa-mir-520f
hsa-mir-4708
hsa-mir-6816
hsa-mir-523
hsa-mir-6780a
hsa-mir-4774
hsa-mir-6843
hsa-mir-4716
hsa-mir-7641-2
hsa-mir-515-2
hsa-mir-4753
hsa-mir-1269b
hsa-mir-1303
hsa-mir-4469
hsa-mir-4658
hsa-mir-6506
hsa-mir-512-1
hsa-mir-4657
hsa-mir-6836
hsa-mir-6819
hsa-mir-522
hsa-mir-6723
hsa-mir-6824
hsa-mir-4505
hsa-mir-6746
hsa-mir-7114
hsa-mir-520h
hsa-mir-6886
hsa-mir-6795
hsa-mir-6769b
hsa-mir-604
hsa-mir-346
hsa-mir-5682
hsa-mir-548x
hsa-mir-6825
hsa-mir-219a-2
hsa-mir-6818
hsa-mir-6800
hsa-mir-4649
hsa-mir-6839
hsa-mir-6882
hsa-mir-6827
hsa-mir-7152
hsa-mir-4480
hsa-mir-4758
hsa-mir-5093
hsa-mir-516a-1
hsa-mir-4697
hsa-mir-492
hsa-mir-6738
hsa-mir-1227
hsa-mir-585
hsa-mir-6857
hsa-mir-4732
hsa-mir-548ay
hsa-mir-3660
hsa-mir-622
hsa-mir-5006
hsa-mir-4502
hsa-mir-23c
hsa-mir-4717
hsa-mir-6848
hsa-mir-6814
hsa-mir-374c
hsa-mir-572
hsa-mir-489
hsa-mir-184
hsa-mir-5094
hsa-mir-449b
hsa-mir-4284
hsa-mir-6881
hsa-mir-4769
hsa-mir-6505
hsa-mir-4454
hsa-mir-548a-3
hsa-mir-3178
hsa-mir-5589
hsa-mir-1260b
hsa-mir-3146
hsa-mir-514a-2
hsa-mir-6727
hsa-mir-548f-1
hsa-mir-6779
hsa-mir-573
hsa-mir-6878
hsa-mir-4466
hsa-mir-4705
hsa-mir-519a-2
hsa-mir-6748
hsa-mir-611
hsa-mir-5708
hsa-mir-3688-2
hsa-mir-4752
hsa-mir-1250
hsa-mir-6887
hsa-mir-4685
hsa-mir-4668
hsa-mir-6810
hsa-mir-6842
hsa-mir-3199-1
hsa-mir-198
hsa-mir-3152
hsa-mir-548b
hsa-mir-6742
hsa-mir-5571
hsa-mir-3617
hsa-mir-3137
hsa-mir-555
hsa-mir-6732
hsa-mir-378f
hsa-mir-6856
hsa-mir-3605
hsa-mir-4662a
hsa-mir-544a
hsa-mir-6770-3
hsa-mir-371b
hsa-mir-2114
hsa-mir-1197
hsa-mir-607
hsa-mir-3196
hsa-mir-1275
hsa-mir-548t
hsa-mir-4433a
hsa-mir-518b
hsa-mir-6832
hsa-mir-3132
hsa-mir-5703
hsa-mir-487a
hsa-mir-4734
hsa-mir-326
hsa-mir-8072
hsa-mir-4518
hsa-mir-4757
hsa-mir-6834
hsa-mir-3646
hsa-mir-548y
hsa-mir-3667
hsa-mir-4653
hsa-mir-6793
hsa-mir-383
hsa-mir-4787
hsa-mir-378i
hsa-mir-4523
hsa-mir-934
hsa-mir-181a-1
hsa-mir-624
hsa-mir-6871
hsa-mir-3923
hsa-mir-4743
hsa-mir-3131
hsa-mir-1306
hsa-mir-708
hsa-mir-19b-2
hsa-mir-1913
hsa-mir-320b-2
hsa-mir-203b
hsa-mir-760
hsa-mir-4484
hsa-mir-6747
hsa-mir-3182
hsa-mir-4678
hsa-mir-3939
hsa-mir-3128
hsa-mir-5090
hsa-mir-6741
hsa-mir-596
hsa-mir-3689f
hsa-mir-3680-2
hsa-mir-1292
hsa-mir-6735
hsa-mir-195
hsa-mir-1288
hsa-mir-6889
hsa-mir-767
hsa-mir-6788
hsa-mir-6734
hsa-mir-518a-1
hsa-mir-34c
hsa-mir-548d-1
hsa-mir-6507
hsa-mir-205
hsa-mir-1911
hsa-mir-7846
hsa-mir-570
hsa-mir-4781
hsa-mir-641
hsa-mir-4727
hsa-mir-7850
hsa-mir-20b
hsa-mir-6817
hsa-mir-6797
hsa-mir-190b
hsa-mir-370
hsa-mir-944
hsa-mir-4512
hsa-mir-3616
hsa-mir-3655
hsa-mir-3690-1
hsa-mir-6718
hsa-mir-4470
hsa-mir-6883
hsa-mir-135a-2
hsa-mir-495
hsa-mir-7641-1
hsa-mir-4444-1
hsa-mir-5092
hsa-mir-5187
hsa-mir-2278
hsa-mir-6831
hsa-mir-5697
hsa-mir-141
hsa-mir-4780
hsa-mir-219b
hsa-mir-1343
hsa-mir-320c-1
hsa-mir-149
hsa-mir-92a-2
hsa-mir-455
hsa-mir-486-1
hsa-mir-616
hsa-mir-514a-3
hsa-mir-7976
hsa-mir-1249
hsa-mir-4691
hsa-mir-6761
hsa-mir-26a-1
hsa-mir-381
hsa-mir-6782
hsa-mir-891a
hsa-mir-122
hsa-mir-4773-1
hsa-mir-577
hsa-mir-548ar
hsa-mir-7151
hsa-mir-502
hsa-mir-655
hsa-mir-3194
hsa-mir-17
hsa-mir-1270
hsa-mir-7-3
hsa-mir-3944
hsa-mir-6895
hsa-mir-101-2
hsa-mir-5009
hsa-mir-6728
hsa-mir-659
hsa-mir-7-2
hsa-mir-3936
hsa-mir-30c-1
hsa-mir-224
hsa-mir-1262
hsa-mir-4733
hsa-mir-6851
hsa-mir-3940
hsa-mir-323a
hsa-mir-4710
hsa-let-7a-1
hsa-mir-9-1
hsa-mir-548az
hsa-mir-6755
hsa-mir-219a-1
hsa-mir-3912
hsa-mir-7854
hsa-mir-4670
hsa-mir-3653
hsa-mir-374a
hsa-mir-4446
hsa-mir-3127
hsa-mir-218-1
hsa-mir-33a
hsa-mir-6515
hsa-mir-3200
hsa-mir-3183
hsa-mir-4642
hsa-mir-30b
hsa-mir-6513
hsa-mir-6783
hsa-mir-152
hsa-mir-3654
hsa-mir-377
hsa-mir-376b
hsa-mir-5000
hsa-mir-6805
hsa-mir-431
hsa-mir-3591
hsa-mir-1224
hsa-mir-598
hsa-mir-520b
hsa-mir-6132
hsa-mir-30a
hsa-mir-514b
hsa-mir-181b-1
hsa-mir-23b
hsa-mir-4474
hsa-mir-6873
hsa-mir-654
hsa-mir-4453
hsa-mir-6773
hsa-mir-548l
hsa-mir-4683
hsa-mir-10b
hsa-mir-4435-1
hsa-mir-4775
hsa-mir-4715
hsa-mir-548au
hsa-mir-125b-1
hsa-mir-4707
hsa-mir-412
hsa-mir-1229
hsa-mir-493
hsa-mir-550a-3
hsa-mir-25
hsa-mir-5684
hsa-mir-3117
hsa-mir-6514
hsa-mir-95
hsa-mir-518f
hsa-mir-7702
hsa-mir-135b
hsa-mir-432
hsa-mir-559
hsa-mir-196a-2
hsa-mir-4496
hsa-mir-374b
hsa-mir-4677
hsa-mir-337
hsa-mir-133a-1
hsa-mir-488
hsa-mir-484
hsa-mir-26b
hsa-mir-6766
hsa-mir-1246
hsa-let-7c
hsa-mir-138-1
hsa-mir-153-2
hsa-mir-3615
hsa-mir-125a
hsa-mir-520a
hsa-mir-636
hsa-mir-6799
hsa-mir-6511b-2
hsa-mir-3613
hsa-mir-3174
hsa-mir-1914
hsa-mir-3529
hsa-mir-155
hsa-mir-2115
hsa-mir-889
hsa-mir-202
hsa-mir-539
hsa-mir-3173
hsa-mir-4652
hsa-mir-548aw
hsa-mir-548d-2
hsa-mir-6891
hsa-mir-3651
hsa-mir-4766
hsa-mir-6803
hsa-mir-542
hsa-mir-7706
hsa-mir-151a
hsa-mir-409
hsa-mir-1-2
hsa-mir-4664
hsa-let-7e
hsa-mir-199a-1
hsa-mir-107
hsa-mir-4772
hsa-mir-9-3
hsa-mir-106b
hsa-mir-6762
hsa-mir-5579
hsa-mir-550a-2
hsa-mir-136
hsa-mir-376a-1
hsa-mir-223
hsa-mir-1295a
hsa-mir-6716
hsa-mir-378a
hsa-mir-548ax
hsa-mir-4797
hsa-mir-6789
hsa-mir-378c
hsa-mir-19a
hsa-mir-1255a
hsa-mir-4494
hsa-mir-450b
hsa-mir-98
hsa-mir-96
hsa-mir-1245a
hsa-mir-500b
hsa-mir-1180
hsa-mir-5699
hsa-mir-200b
hsa-mir-1181
hsa-mir-625
hsa-mir-192
hsa-mir-379
hsa-mir-126
hsa-mir-6754
hsa-let-7f-1
hsa-mir-423
hsa-mir-509-2
hsa-mir-203a
hsa-mir-6776
hsa-mir-584
hsa-mir-3198-2
hsa-mir-29c
hsa-mir-18b
hsa-mir-424
hsa-mir-592
hsa-mir-4754
hsa-mir-597
hsa-mir-193a
hsa-mir-18a
hsa-mir-541
hsa-mir-4784
hsa-mir-23a
hsa-mir-3130-1
hsa-mir-3124
hsa-mir-6087
hsa-mir-153-1
hsa-mir-214
hsa-mir-4724
hsa-mir-217
hsa-mir-194-1
hsa-mir-581
hsa-mir-3934
hsa-mir-548o-2
hsa-let-7g
hsa-mir-576
hsa-mir-27b
hsa-mir-3922
hsa-mir-6815
hsa-mir-199a-2
hsa-mir-4794
hsa-mir-92a-1
hsa-mir-520g
hsa-mir-206
hsa-mir-6726
hsa-mir-146a
hsa-mir-6731
hsa-mir-451a
hsa-mir-520c
hsa-mir-1305
hsa-mir-877
hsa-mir-4804
hsa-mir-3121
hsa-mir-146b
hsa-mir-548o
hsa-mir-331
hsa-mir-4800
hsa-mir-4673
hsa-mir-6875
hsa-mir-125b-2
hsa-mir-130b
hsa-mir-101-1
hsa-mir-6866
hsa-mir-629
hsa-mir-579
hsa-mir-28
hsa-mir-2116
hsa-mir-1185-1
hsa-mir-3188
hsa-mir-1228
hsa-mir-3928
hsa-mir-6787
hsa-mir-103a-2
hsa-mir-324
hsa-mir-3652
hsa-mir-335
hsa-mir-508
hsa-mir-199b
hsa-mir-4746
hsa-mir-191
hsa-mir-320a
hsa-mir-505
hsa-mir-1277
hsa-mir-410
hsa-mir-1296
hsa-mir-4423
hsa-mir-296
hsa-mir-3155a
hsa-mir-340
hsa-mir-2355
hsa-mir-5001
hsa-mir-3170
hsa-mir-3941
hsa-mir-433
